title,tags
Dark Skies,horror movies  sci fi   fantasy scott stewart keri russell  josh hamilton  j k  simmons  dakota goyo  kadan rockett  l j  benet  rich hutchman  myndy crist  annie thurman  jake brennan united states a family s idyllic suburban life shatters when an alien force invades their home  and as they struggle to convince others of the deadly threat 
Paranoia,thrillers robert luketic liam hemsworth  gary oldman  amber heard  harrison ford  lucas till  embeth davidtz  julian mcmahon  josh holloway  richard dreyfuss  angela sarafyan united states  india  france blackmailed by his company s ceo  a low level employee finds himself forced to spy on the boss s rival and former mentor 
Ankahi Kahaniya,dramas  independent movies  international movies ashwiny iyer tiwari  abhishek chaubey  saket chaudhary abhishek banerjee  rinku rajguru  delzad hiwale  kunal kapoor  zoya hussain  nikhil dwivedi  palomi ghosh unknown country as big city life buzzes around them  lonely souls discover surprising sources of connection and companionship in three tales of love  loss and longing 
Chicago Party Aunt,tv comedies unknown director lauren ash  rory o malley  rupaul charles  jill talley  ike barinholtz  jon barinholtz  matthew craig  bob odenkirk  mike hagerty  katie rich  chris witaske unknown country chicago party aunt diane is an idolized troublemaker with a talent for avoiding adulthood   and a soft spot for her soul searching nephew 
Sex Education,british tv shows  international tv shows  tv comedies unknown director asa butterfield  gillian anderson  ncuti gatwa  emma mackey  connor swindells  kedar williams stirling  alistair petrie united kingdom insecure otis has all the answers when it comes to sex advice  thanks to his therapist mom  so rebel maeve proposes a school sex therapy clinic 
Squid Game,international tv shows  tv dramas  tv thrillers unknown director lee jung jae  park hae soo  wi ha jun  oh young soo  jung ho yeon  heo sung tae  kim joo ryoung  tripathi anupam  you seong joo  lee you mi unknown country hundreds of cash strapped players accept a strange invitation to compete in children s games  inside  a tempting prize awaits   with deadly high stakes 
Tayo and Little Wizards,kids  tv unknown director dami lee  jason lee  bommie catherine han  jennifer waescher  nancy kim unknown country tayo speeds into an adventure when his friends get kidnapped by evil magicians invading their city in search of a magical gemstone 
The Father Who Moves Mountains,dramas  international movies  thrillers daniel sandu adrian titieni  elena purea  judith state  valeriu andriu    tudor smoleanu  virgil aioanei  radu botar  petronela grigorescu  bogdan nechifor  cristian bota unknown country when his son goes missing during a snowy hike in the mountains  a retired intelligence officer will stop at nothing   and risk everything   to find him 
The Stronghold,action   adventure  dramas  international movies c dric jimenez gilles lellouche  karim leklou  fran ois civil  ad le exarchopoulos  kenza fortas  cyril lecomte  micha l abiteboul  idir azougli  vincent darmuzey  jean yves berteloot unknown country tired of the small time grind  three marseille cops get a chance to bust a major drug network  but lines blur when a key informant makes a big ask 
Angry Birds,kids  tv  tv comedies unknown director antti p  kk nen  helj  heikkinen  lynne guaglione  pasi ruohonen  rauno ahonen finland birds red  chuck and their feathered friends have lots of adventures while guarding eggs in their nest that pesky pigs keep trying to steal 
Birth of the Dragon,action   adventure  dramas george nolfi billy magnussen  ron yuan  qu jingjing  terry chen  vanness wu  jin xing  philip ng  xia yu  yu xia china  canada  united states a young bruce lee angers kung fu traditionalists by teaching outsiders  leading to a showdown with a shaolin master in this film based on real events 
Chhota Bheem,kids  tv unknown director vatsal dubey  julie tejwani  rupa bhimani  jigna bhardwaj  rajesh kava  mousam  swapnil india a brave  energetic little boy with superhuman powers leads his friends on exciting adventures to guard their fellow dholakpur villagers from evil 
He-Man and the Masters of the Universe,kids  tv  tv sci fi   fantasy unknown director yuri lowenthal  kimberly brooks  antony del rio  trevor devall  ben diskin  grey griffin  david kaye  tom kenny  judy alice lee  roger craig smith  fred tatasciore united states mighty teen adam and his heroic squad of misfits discover the legendary power of grayskull   and their destiny to defend eternia from sinister skeletor 
Jaws,action   adventure  classic movies  dramas steven spielberg roy scheider  robert shaw  richard dreyfuss  lorraine gary  murray hamilton  carl gottlieb  jeffrey kramer  susan backlinie  jonathan filley  ted grossman united states when an insatiable great white shark terrorizes amity island  a police chief  an oceanographer and a grizzled shark hunter seek to destroy the beast 
Jaws 2,dramas  horror movies  thrillers jeannot szwarc roy scheider  lorraine gary  murray hamilton  joseph mascolo  jeffrey kramer  collin wilcox paxton  ann dusenberry  mark gruner  barry coe  susan french united states four years after the last deadly shark attacks  police chief martin brody fights to protect amity island from another killer great white 
Jaws 3,action   adventure  horror movies  thrillers joe alves dennis quaid  bess armstrong  simon maccorkindale  louis gossett jr   john putch  lea thompson  p h  moriarty  dan blasko  liz morris  lisa maurer united states after the staff of a marine theme park try to capture a young great white shark  they discover its mother has invaded the enclosure and is out for blood 
Jaws: The Revenge,action   adventure  horror movies  thrillers joseph sargent lorraine gary  lance guest  mario van peebles  karen young  michael caine  judith barsi  mitchell anderson  lynn whitfield united states after another deadly shark attack  ellen brody has had enough of amity island and moves to the caribbean   but a great white shark follows her there 
My Heroes Were Cowboys,documentaries tyler greco unknown cast unknown country robin wiltshire s painful childhood was rescued by westerns  now he lives on the frontier of his dreams  training the horses he loves for the big screen 
Safe House,action   adventure daniel espinosa denzel washington  ryan reynolds  vera farmiga  brendan gleeson  sam shepard  rub n blades  nora arnezeder  robert patrick  liam cunningham  joel kinnaman south africa  united states  japan young cia operative matt weston must get a dangerous criminal out of an agency safe house that s come under attack and get him to a securer location 
The Smart Money Woman,international tv shows  romantic tv shows  tv comedies bunmi ajakaiye osas ighodaro  ini dima okojie  kemi lala akindoju  toni tones  ebenezer eno  eso okolocha dike  patrick diabuah  karibi fubara  temisan emmanuel  timini egbuson unknown country five glamorous millennials strive for success as they juggle careers  finances  love and friendships  based on arese ugwu s 2016 best selling novel 
Training Day,dramas  thrillers antoine fuqua denzel washington  ethan hawke  scott glenn  tom berenger  harris yulin  raymond j  barry  cliff curtis  dr  dre  snoop dogg  macy gray  eva mendes united states a rookie cop with one day to prove himself to a veteran lapd narcotics officer receives a crash course in his mentor s questionable brand of justice 
Castle and Castle,international tv shows  tv dramas unknown director richard mofe damijo  dakore akande  bimbo manuel  blossom chukwujekwu  deyemi okanlawon  etim effiong  denola grey  duke akintola  eku edewor  ade laoye  anee icha  kevin ushi  jude chukwuka  amanda afolabi nigeria a pair of high powered  successful lawyers find themselves defending opposite interests of the justice system  causing a strain on their happy marriage 
Dharmakshetra,international tv shows  tv dramas  tv sci fi   fantasy unknown director kashmira irani  chandan anand  dinesh mehta  ankit arora  pushkar goggiaa  anjali rana  aarya dharmchand kumar  amit behl  maleeka ghai india after the ancient great war  the god chitragupta oversees a trial to determine who were the battle s true heroes and villains 
InuYasha the Movie 2: The Castle Beyond the Looking Glass,action   adventure  anime features  international movies toshiya shinohara kappei yamaguchi  satsuki yukino  mieko harada  koji tsujitani  houko kuwashima  kumiko watanabe  noriko hidaka  kenichi ogata  toshiyuki morikawa  izumi ogami japan with their biggest foe seemingly defeated  inuyasha and his friends return to everyday life  but the peace is soon shattered by an emerging new enemy 
InuYasha the Movie 3: Swords of an Honorable Ruler,action   adventure  anime features  international movies toshiya shinohara kappei yamaguchi  satsuki yukino  koji tsujitani  houko kuwashima  kumiko watanabe  ken narita  akio otsuka  kikuko inoue japan the great dog demon beaqueathed one of the three swords of the fang to each of his two sons  now the evil power of the third sword has been awakened 
InuYasha the Movie 4: Fire on the Mystic Island,action   adventure  anime features  international movies toshiya shinohara kappei yamaguchi  satsuki yukino  koji tsujitani  houko kuwashima  kumiko watanabe  noriko hidaka  ken narita  cho  mamiko noto  nobutoshi canna japan ai  a young half demon who has escaped from horai island to try to help her people  returns with potential saviors inuyasha  sesshomaru and kikyo 
InuYasha the Movie: Affections Touching Across Time,action   adventure  anime features  international movies toshiya shinohara kappei yamaguchi  satsuki yukino  koji tsujitani  houko kuwashima  kumiko watanabe  kenichi ogata  noriko hidaka  hisako kyoda  ken narita  tomokazu seki japan a powerful demon has been sealed away for 200 years  but when the demon s son is awakened  the fate of the world is in jeopardy 
Nailed It,reality tv unknown director nicole byer  jacques torres united states home bakers with a terrible track record take a crack at re creating edible masterpieces for a  10 000 prize  it s part reality contest  part hot mess 
Naruto Shippuden the Movie: Blood Prison,action   adventure  anime features  international movies masahiko murata junko takeuchi  chie nakamura  rikiya koyama  kazuhiko inoue  masaki terasoma  mie sonozaki  yuichi nakamura  kengo kawanishi  kosei hirota  masako katsuki japan mistakenly accused of an attack on the fourth raikage  ninja naruto is imprisoned in the impenetrable hozuki castle and his powers are sealed 
Naruto Shippûden the Movie: Bonds,action   adventure  anime features  international movies hajime kamegaki junko takeuchi  chie nakamura  noriaki sugiyama  unsho ishizuka  motoko kumai  kazuhiko inoue  rikiya koyama  showtaro morikubo  nana mizuki  satoshi hino  shinji kawada japan when strange ninjas ambush the village of konohagakure  it s up to adolescent ninja naruto and his long missing pal  sasuke  to save the planet 
Naruto Shippûden the Movie: The Will of Fire,action   adventure  anime features  international movies masahiko murata junko takeuchi  chie nakamura  kazuhiko inoue  satoshi hino  showtaro morikubo  kentaro ito  ryoka yuzuki  kohsuke toriumi  nana mizuki  shinji kawada  yoichi masukawa  koichi tochika  yukari tamura japan when four out of five ninja villages are destroyed  the leader of the one spared tries to find the true culprit and protect his land 
Naruto Shippuden: The Movie,action   adventure  anime features  international movies hajime kamegaki junko takeuchi  chie nakamura  yoichi masukawa  koichi tochika  ayumi fujimura  keisuke oda  daisuke kishio  fumiko orikasa  hidetoshi nakamura  tetsuya kakihara  kisho taniyama  miyuki sawashiro  katsuyuki konishi  masako katsuki  keiko nemoto  masashi ebara  kazuhiko inoue  showtaro morikubo  romi park  daisuke ono  seizo kato japan the adventures of adolescent ninja naruto uzumaki continue as he s tasked with protecting a priestess from a demon   but to do so  he must die 
Naruto Shippuden: The Movie: The Lost Tower,action   adventure  anime features  international movies masahiko murata junko takeuchi  chie nakamura  satoshi hino  rikiya koyama  nobuaki fukuda  kenji hamada  keiko nemoto  saori hayami  yumi toma  yuko kobayashi  fujiko takimoto  mutsumi tamura  mayuki makiguchi  toshiyuki morikawa japan when naruto is sent to recover a missing nin  the rogue manages to send him 20 years into the past  where he unites with his father to battle evil 
Naruto the Movie 2: Legend of the Stone of Gelel,action   adventure  anime features  international movies hirotsugu kawasaki junko takeuchi  gamon kaai  chie nakamura  showtaro morikubo  akira ishida  yasuyuki kase  urara takano  sachiko kojima  houko kuwashima  takako honda japan while on a mission to return a missing pet  naruto and two fellow ninjas are ambushed by brutal knights led by the enigmatic temujin 
Naruto the Movie 3: Guardians of the Crescent Moon Kingdom,action   adventure  anime features  international movies toshiyuki tsuru junko takeuchi  chie nakamura  yoichi masukawa  kazuhiko inoue  akio otsuka  kyousuke ikeda  marika hayashi  umeji sasaki  masashi sugawara  hisao egawa japan exuberant ninja naruto teams up with his pals sakura and kakashi to escort prince michiru and his son  hikaru  to the crescent moon kingdom 
Naruto the Movie: Ninja Clash in the Land of Snow,action   adventure  anime features  international movies tensai okamura junko takeuchi  noriaki sugiyama  chie nakamura  kazuhiko inoue  yuhko kaida  tsutomu isobe  hirotaka suzuoki  jun karasawa  harii kaneko  ikuo nishikawa japan naruto  sasuke and sakura learn they ll be protecting an actress from being hurt while making her next film  but it turns out she s a princess 
Nightbooks,children   family movies david yarovesky winslow fegley  lidya jewett  krysten ritter unknown country scary story fan alex must tell a spine tingling tale every night   or stay trapped with his new friend in a wicked witch s magical apartment forever 
Numberblocks,kids  tv unknown director beth chalmers  david holt  marcel mccalla  teresa gallagher united kingdom in a place called numberland  math adds up to tons of fun when a group of cheerful blocks work  play and sing together 
Raja Rasoi Aur Anya Kahaniyan,docuseries  international tv shows unknown director unknown cast india explore the history and flavors of regional indian cuisine  from traditional kashmiri feasts to the vegetarian dishes of gujarat 
Saved by the Bell,kids  tv  tv comedies unknown director mark paul gosselaar  tiffani thiessen  mario lopez  lark voorhies  elizabeth berkley  dustin diamond  dennis haskins united states from middle school to college  best friends zack  kelly  slater  jessie  screech and lisa take on the highs and lows of life together in this hit series 
Schumacher,documentaries  international movies  sports movies hanns bruno kammert ns  vanessa n cker  michael wech michael schumacher unknown country through exclusive interviews and archival footage  this documentary traces an intimate portrait of seven time formula 1 champion michael schumacher 
Stories by Rabindranath Tagore,international tv shows  tv dramas unknown director unknown cast india the writings of nobel prize winner rabindranath tagore come to life in this collection of tales set in early 20th century bengal 
Too Hot To Handle: Latino,international tv shows  reality tv  romantic tv shows unknown director itat  cantoral unknown country on this reality show  singles from latin america and spain are challenged to give up sex  but here  abstinence comes with a silver lining  us 100 000 
A StoryBots Space Adventure,children   family movies david a  vargas evan spiridellis  erin fitzgerald  jeff gill  fred tatasciore  evan michael lee  jared isaacman  sian proctor  chris sembroski  hayley arceneaux unknown country join the storybots and the space travelers of the historic inspiration4 mission as they search for answers to kids  questions about space 
Jack Whitehall: Travels with My Father,british tv shows  docuseries  international tv shows unknown director jack whitehall  michael whitehall united kingdom jovial comic jack whitehall invites his stuffy father  michael  to travel with him through southeast asia in an attempt to strengthen their bond 
King of Boys,dramas  international movies kemi adetiba sola sobowale  adesua etomi  remilekun  reminisce  safaru  tobechukwu  illbliss  ejiofor  toni tones  paul sambo  jide kosoko  sharon ooja nigeria when a powerful businesswoman s political ambitions are threatened by her underworld connections  the ensuing power struggle could cost her everything 
The World's Most Amazing Vacation Rentals,reality tv unknown director unknown cast unknown country with an eye for every budget  three travelers visit vacation rentals around the globe and share their expert tips and tricks in this reality series 
You vs. Wild: Out Cold,children   family movies ben simms bear grylls  jason derek prempeh unknown country after a plane crash leaves bear with amnesia  he must make choices to save the missing pilot and survive in this high stakes interactive adventure 
Yowamushi Pedal,anime series  international tv shows unknown director daiki yamashita  kohsuke toriumi  jun fukushima  hiroki yasumoto  showtaro morikubo  kentaro ito  daisuke kishio  yoshitsugu matsuoka  junichi suwabe  ayaka suwa  megumi han  tomoaki maeno  tsubasa yonaga  tetsuya kakihara  satoshi hino  hiroyuki yoshino  atsushi abe  koji yusa  kouki miyata  hiro shimono  wataru hatano  yuichi nakamura  kenji nojima  mamoru miyano  daisuke ono  yuma uchida  jun fukuyama japan a timid  anime loving teen gets drawn into a school cycling club  where his new friends help him face tough challenges to develop his racing talent 
Little Singham - Black Shadow,children   family movies  comedies prakash satam sumriddhi shukla  jigna bharadwaj  sonal kaushal  neshma chemburkar  ganesh divekar  annamaya verma  anamay verma  manoj pandey unknown country kid cop little singham loses all his superpowers while trying to stop the demon kaal s new evil plans  can his inner strength help him defeat the enemy 
Tughlaq Durbar,comedies  dramas  international movies delhiprasad deenadayalan vijay sethupathi  parthiban  raashi khanna unknown country a budding politician has devious plans to rise in the ranks   until an unexpected new presence begins to interfere with his every crooked move 
Tughlaq Durbar (Telugu),comedies  dramas  international movies delhiprasad deenadayalan vijay sethupathi  parthiban  raashi khanna unknown country a budding politician has devious plans to rise in the ranks   until an unexpected new presence begins to interfere with his every crooked move 
Firedrake the Silver Dragon,children   family movies tomer eshed thomas brodie sangster  felicity jones  freddie highmore  patrick stewart  meera syal  sanjeev bhaskar  nonso anozie unknown country when his home is threatened by humans  a young dragon summons the courage to seek a mythical paradise where dragons can live in peace and fly free 
Kate,action   adventure cedric nicolas troyan mary elizabeth winstead  jun kunimura  woody harrelson  tadanobu asano  miyavi  michiel huisman  miku martineau united states slipped a fatal poison on her final job  a ruthless assassin working in tokyo has less than 24 hours to find out who ordered the hit and exact revenge 
Lucifer,crime tv shows  tv comedies  tv dramas unknown director tom ellis  lauren german  kevin alejandro  d b  woodside  lesley ann brandt  scarlett estevez  rachael harris  aimee garcia  tricia helfer  tom welling  jeremiah w  birkett  pej vahdat  michael gladis united states bored with being the lord of hell  the devil relocates to los angeles  where he opens a nightclub and forms a connection with a homicide detective 
Metal Shop Masters,reality tv unknown director jo koy unknown country on this competition show  a group of metal artists torch  cut and weld epic  badass creations from hardened steel  only one will win a  50 000 prize 
Omo Ghetto: the Saga,action   adventure  comedies  dramas jjc skillz  funke akindele funke akindele  ayo makun  chioma chukwuka akpotha  yemi eberechi alade  blossom chukwujekwu  deyemi okanlawon  alexx ekubo  zubby michael  tina mba  femi jacobs nigeria twins are reunited as a good hearted female gangster and her uptight rich sister take on family  crime  cops and all of the trouble that follows them 
Pokémon Master Journeys: The Series,anime series  kids  tv unknown director ikue otani  sarah natochenny  zeno robinson  cherami leigh  james carter cathcart  michele knotz  rodger parsons  ray chase  casey mongillo  tara sands unknown country as ash battles his way through the world coronation series  goh continues his quest to catch every pok mon  together  they re on a journey to adventure 
Prey,international movies  thrillers thomas sieben david kross  hanno koffler  maria ehrich  robert finster  yung ngo  klaus steinbacher  livia matthes  nellie thalbach unknown country a hiking trip into the wild turns into a desperate bid for survival for five friends on the run from a mysterious shooter 
Titipo Titipo,kids  tv  korean tv shows unknown director jeon hae ri  kim eun ah  hong bum ki  nam do hyeong  um sang hyun unknown country titipo the train is out to prove that he s got what it takes to help the folks of train village ride the rails safely and reliably 
Blood Brothers: Malcolm X & Muhammad Ali,documentaries  sports movies marcus clarke malcolm x  muhammad ali unknown country from a chance meeting to a tragic fallout  malcolm x and muhammad ali s extraordinary bond cracks under the weight of distrust and shifting ideals 
Mighty Raju,kids  tv unknown director julie tejwani  sabina malik  jigna bhardwaj  rupa bhimani  lalit agarwal  rajesh shukla  rajesh kava unknown country born with superhuman abilities  young raju wants to use his powers to make the world a better place   but that will mean facing plenty of challenges 
Paradise Hills,sci fi   fantasy  thrillers alice waddington emma roberts  danielle macdonald  awkwafina  eiza gonz lez  milla jovovich  jeremy irvine  arnaud valois  daniel horvath spain  united states uma wakes up in a lush tropical facility designed to turn willful girls into perfect ladies  that s bad enough  but its real purpose is even worse 
The Women and the Murderer,documentaries  international movies mona achache  patricia tourancheau unknown cast france this documentary traces the capture of serial killer guy georges through the tireless work of two women  a police chief and a victim s mother 
Into the Night,international tv shows  tv dramas  tv mysteries unknown director pauline etienne  laurent capelluto  stefano cassetti  mehmet kurtulu   babetida sadjo  jan bijvoet  ksawery szlenkier  vincent londez  regina bikkinina  alba ga a kraghede bellugi  nabil mallat belgium passengers and crew aboard a hijacked overnight flight scramble to outrace the sun as a mysterious cosmic event wreaks havoc on the world below 
JJ+E,dramas  international movies  romantic movies alexis almstr m elsa  hrn  mustapha aarab  jonay pineda skallak  magnus krepper  loreen  albin grenholm  simon mezher  elsa bergstr m terent  josef kadim  yohannes frezgi unknown country elisabeth and john john live in the same city  but they inhabit different worlds  can a passionate first love break through class and cultural barriers 
Show Dogs,children   family movies  comedies raja gosnell will arnett  ludacris  natasha lyonne  stanley tucci  jordin sparks  gabriel iglesias  shaquille o neal  omar chaparro  alan cumming  andy beckwith  delia sheppard  kerry shale united kingdom  united states a rough and tough police dog must go undercover with an fbi agent as a prim and proper pet at a dog show to save a baby panda from an illegal sale 
The Circle,reality tv unknown director michelle buteau united states  united kingdom status and strategy collide in this social experiment and competition show where online players flirt  befriend and catfish their way toward  100 000 
If I Leave Here Tomorrow: A Film About Lynyrd Skynyrd,documentaries  music   musicals stephen kijak ronnie van zandt  gary rossington  allen collins  leon wilkeson  bob burns  billy powell  ed king  artimus pyle  steve gaines  johnny van zant united states using interviews and archival footage  this documentary charts the story of the legendary southern rockers with a focus on front man ronnie van zant 
Kid Cosmic,kids  tv  tv comedies  tv sci fi   fantasy unknown director jack fisher  tom kenny  amanda c  miller  kim yarbrough  keith ferguson  grey griffin  lily rose silver united states a boy s superhero dreams come true when he finds five powerful cosmic stones  but saving the day is harder than he imagined   and he can t do it alone 
Octonauts: Above & Beyond,british tv shows  kids  tv unknown director antonio aakeel  chipo chung  simon foster  teresa gallagher  simon greenall  kate harbour  paul panting  rob rackstraw  william vanderpuye  helen walsh  keith wickham  andres williams  jo wyatt united kingdom the octonauts expand their exploration beyond the sea   and onto land  with new rides and new friends  they ll protect any habitats and animals at risk 
On the Verge,tv comedies  tv dramas unknown director julie delpy  elisabeth shue  sarah jones  alexia landeau  mathieu demy  troy garity  timm sharp  giovanni ribisi france  united states four women   a chef  a single mom  an heiress and a job seeker   dig into love and work  with a generous side of midlife crises  in pre pandemic la 
Tobot Galaxy Detectives,kids  tv unknown director austin abell  travis turner  cole howard  anna cummer  jesse inocalla  brian dobson  michael adamthwaite  joseph girgis  caitlyn bairstow unknown country an intergalactic device transforms toy cars into robots  the tobots  working with friends to solve mysteries  they protect the world from evil 
